ID,Schenk_Jackson_2002,latitude,longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
RG21,YES,26.27,72.97,-999,Total,mass,0.19,0.9,no,coarse,0,1,0,0,0,1,0,0,drought-deciduous,N,N,Savanna,7,2183,355,summer maximum,0.3,0.81,0.44,1.54
RG22,YES,29.17,75.77,215,Total,mass,-999,2.33,no,medium,0,1,0,0,0,0,0,0,drought-deciduous,N,N,Savanna,7,1687,550,summer maximum,0.22,1.01,0.22,1.06
RG23,YES,11.78,76.38,900,Total,mass,1.24,0.5,no,-999,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1650,1098,"tropical, seas",0.1,0.41,0.12,0.7
RG24a,YES,-1.57,34.83,-999,Total,mass,0.41,0.5,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1406,1100,"tropical, seas",0.07,0.33,0.07,0.47
RG24b,YES,-2.33,34.95,-999,Total,mass,0.48,0.5,no,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1424,800,"tropical, seas",0.11,0.36,0.12,0.48
RG24c,YES,-2.73,35.17,-999,Total,mass,0.63,0.5,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1410,425,"tropical, seas",0.19,0.46,0.3,0.89
RG25,YES,2.2,35.75,-999,Total,length,-999,2.4,no,medium,0,1,0,0,0,0,0,0,drought-deciduous,N,N,Savanna,7,1530,300,"tropical, seas",0.32,1.12,0.32,1.17
RG26,YES,13.08,12.1,-999,>2,mass,-999,3.5,no,coarse,0,1,0,0,0,0,0,0,deciduous during wet,N,N,Savanna,7,2155,562,"tropical, seas",0.66,2.59,0.66,2.59
RG27a,YES,16.22,-15.1,40,Total,mass,0.13,6,no,coarse,0,1,0,1,0,0,0,0,drought-deciduous,N,N,Savanna,7,2124,316,"tropical, seas",0.23,2.61,0.23,2.61
RG27b,YES,16.22,-15.1,40,Total,mass,0.98,6,yes,coarse,0,1,0,0,0,0,0,0,drought-deciduous,N,N,Savanna,7,2124,316,"tropical, seas",0.33,2.05,0.33,2.05
RG27c,YES,16.22,-15.1,40,Total,mass,0.23,2,no,coarse,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,2124,316,"tropical, seas",0.11,1.02,0.11,1.25
RG28,YES,14.5,5.75,-999,Total,mass,0.51,0.6,no,coarse,0,1,0,0,0,1,0,0,drought-deciduous,N,N,Savanna,7,2559,580,"tropical, seas",0.2,0.5,0.22,0.76
RG29,YES,4.5,-71.32,150,Total,length,-999,0.8,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,890,2240,"tropical, seas",0.16,0.69,0.25,1.33
RG30,YES,4.62,-71.32,150,Total,length,-999,0.8,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,891,2200,"tropical, seas",0.13,0.67,0.18,1.24
RG31a,YES,-3.42,37.92,450,Total,number,-999,1,no,-999,0,1,0,0,0,1,0,0,drought-deciduous,N,N,Savanna,7,1352,450,"tropical, seas",0.37,0.91,0.53,1.71
RG31b,YES,-3.42,37.92,450,Total,number,-999,1,no,-999,0,0,0,0,0,1,1,0,-999,N,N,Grassland,10,1352,450,"tropical, seas",0.33,0.89,0.43,1.6
RG31c,YES,-2.75,38.13,767,Total,number,-999,1,no,-999,0,1,0,0,0,1,0,0,drought-deciduous,N,N,Savanna,7,1498,767,"tropical, seas",0.33,0.89,0.44,1.64
