latitude,longitude,tovr
49.93,6.16,36.84
49.98,6.07,30.97
49.57,6.18,36.02
49.97,6.13,34.81
49.95,6.16,40.59
49.8,6.17,30.82
49.98,6.07,30.97
49.98,6.07,30.9
49.95,6.16,37.47
49.8,6.18,34.33
49.93,6.16,36.84
49.93,6.16,31.4
49.98,6.07,39.23
49.98,6.07,30.9
49.95,6.16,37.47
49.8,6.18,34.33
49.8,6.16,18.75
49.98,6.07,33.04
49.97,6.13,15.09
49.8,6.17,30.82
49.8,6.18,34.33
49.57,6.18,36.02
49.57,6.18,36.02
49.85,6.16,36.16
49.57,6.18,36.02
49.55,6.14,31.36
49.79,6.15,13.34
49.85,6.16,36.16
49.79,6.15,14.22
49.8,6.18,16.5
49.79,6.15,13.34
49.8,6.16,28.11
49.93,6.16,30.09
49.85,6.16,36.16
49.8,6.17,30.83
49.8,6.16,32.47
49.8,6.18,34.33
49.8,6.18,34.33
49.93,6.16,30.09
49.57,6.18,34.84
49.95,6.16,37.47
49.85,6.16,36.16
49.8,6.16,32.47
49.79,6.16,27.66
49.84,6.16,38.53
49.98,6.07,39.23
49.57,6.18,34.84
49.97,6.13,15.09
49.98,6.07,32.79
49.85,6.16,38.53
49.97,6.13,15.09
49.85,6.16,38.53
49.93,6.15,35.61
49.95,6.16,40.59
49.85,6.16,38.53
49.8,6.16,28.11
49.98,6.07,39.23
49.93,6.16,30.09
49.85,6.16,38.53
49.8,6.18,34.33
49.98,6.13,30.35
49.93,6.16,30.09
49.85,6.16,39.22
49.79,6.15,14.22
49.85,6.16,36.16
49.56,6.14,37.1
49.93,6.16,31.4
49.98,6.07,32.5
49.85,6.16,38.53
49.85,6.16,36.16
49.84,6.16,38.53
49.84,6.16,38.53
49.85,6.16,36.81
49.83,6.11,26.41
49.85,6.16,36.16
49.93,6.16,36.84
49.93,6.16,31.4
49.98,6.07,30.97
49.93,6.16,30.09
50.02,6.08,35.33
49.93,6.16,36.84
49.97,6.07,36.71
49.93,6.16,30.09
49.98,6.13,32.76
49.85,6.16,36.16
49.93,6.16,36.84
49.93,6.16,36.84
49.79,6.16,27.66
49.85,6.16,38.53
49.93,6.16,30.09
49.93,6.16,31.4
49.85,6.16,36.16
49.93,6.16,30.09
49.93,6.16,31.4
49.57,6.18,34.84
49.93,6.16,32.21
49.79,6.14,33.05
49.8,6.18,34.33
49.79,6.16,27.66
49.57,6.18,34.84
49.93,6.16,30.09
49.93,6.16,30.09
49.93,6.16,30.09
49.57,6.18,34.84
49.93,6.16,30.09
49.98,6.13,32.76
49.98,6.07,39.23
49.93,6.16,34.18
49.98,6.07,30.97
50.02,6.08,35.33
49.79,6.14,40.55
49.85,6.16,36.16
49.85,6.16,38.53
49.84,6.16,39.22
49.57,6.19,17.3
50.02,6.08,35.33
49.93,6.16,34.18
49.93,6.16,35.61
49.97,6.07,36.71
49.85,6.16,36.16
49.84,6.16,38.53
49.85,6.16,36.16
49.93,6.16,30.09
49.84,6.16,38.53
49.98,6.13,31.82
48.29,6.5,36.84
50.0,4.3,42.77
49.99,4.4,44.7
49.99,4.24,46.89
50.0,4.46,37.45
50.01,4.22,30.83
50.9,14.7,12.96
45.08,1.65,19.87
45.15,1.61,9.32
45.17,1.76,21.21
48.02,4.22,31.93
46.39,3.23,24.02
46.46,3.54,10.06
46.59,3.42,25.21
46.37,2.91,12.39
46.45,2.9,22.17
47.94,3.68,20.69
48.35,6.91,31.81
48.31,6.67,32.5
48.38,6.82,36.92
48.42,6.78,36.4
48.19,7.15,53.57
48.31,6.99,41.05
48.19,6.91,39.69
48.4,6.79,23.64
50.78,5.95,24.37
48.4,7.2,48.84
46.32,3.46,9.82
44.89,1.99,41.38
45.1,2.12,43.64
45.17,1.71,21.71
47.84,3.63,22.26
47.89,3.61,16.63
48.34,7.03,45.97
48.4,7.08,20.72
48.39,6.75,26.02
48.37,7.18,37.02
48.36,7.03,36.38
48.25,6.05,13.21
50.48,6.38,44.14
45.7,2.97,36.0
45.06,2.56,33.29
49.93,4.39,55.1
50.46,13.04,43.95
50.11,17.41,31.35
50.78,14.05,38.84
49.34,15.03,37.08
49.56,14.8,12.21
51.01,14.32,41.39
49.79,12.82,25.29
50.19,13.13,27.75
49.81,15.16,15.2
49.05,14.71,12.72
50.71,16.01,22.26
50.52,14.79,31.37
49.78,17.46,12.49
49.1,14.25,12.62
50.82,14.55,50.49
47.52,9.18,25.6
47.5,7.58,25.65
47.44,7.55,28.71
47.39,7.68,47.35
47.41,7.39,36.57
47.37,7.8,55.61
47.52,7.5,29.83
47.43,7.9,35.69
47.45,7.72,37.4
47.52,7.63,31.02
47.39,7.78,47.35
47.51,7.67,27.57
47.48,7.92,53.86
47.49,7.86,45.91
46.89,7.08,6.2
46.94,7.25,25.74
47.16,7.79,32.62
46.98,7.71,23.6
47.65,8.76,6.67
47.4,8.96,48.1
47.68,8.72,14.5
47.65,8.72,5.39
47.51,8.91,29.39
47.66,8.76,6.06
47.67,8.76,6.67
47.68,8.76,36.66
47.65,8.76,5.95
47.66,8.76,6.21
47.67,8.76,34.58
47.66,8.7,0.51
47.67,8.7,14.18
47.66,8.77,6.53
47.67,8.71,13.03
47.69,8.71,14.65
47.54,9.09,25.22
47.68,8.77,28.37
47.67,8.78,7.09
47.66,8.78,6.51
47.68,8.71,16.16
47.65,8.72,24.7
47.65,8.69,5.94
47.65,8.73,35.63
47.69,8.69,14.59
47.68,8.7,13.47
47.69,8.73,15.87
47.65,8.72,7.08
47.68,8.73,11.65
47.6,8.76,30.4
47.67,8.81,37.38
47.65,8.81,42.01
47.6,8.81,32.42
47.67,8.83,28.3
47.6,8.83,26.18
47.64,8.84,34.37
47.6,8.86,28.43
47.56,8.86,28.34
47.64,8.86,30.67
47.62,8.87,24.88
47.6,8.88,28.88
47.54,8.89,19.82
47.47,8.91,35.23
47.63,8.91,27.81
47.54,8.91,29.61
47.62,8.92,40.19
47.56,8.92,31.39
47.58,8.92,28.99
47.46,8.92,33.98
47.53,8.92,39.01
47.6,8.93,29.25
47.52,8.93,39.44
47.55,8.94,30.85
47.47,8.94,35.89
47.51,8.94,29.93
47.42,8.96,50.7
47.49,8.96,29.37
47.57,8.97,27.52
47.47,9.02,28.38
47.53,8.97,37.32
47.5,7.88,46.82
47.53,8.99,41.26
47.42,8.99,43.35
47.65,9.0,33.77
47.63,9.13,30.61
47.52,9.13,30.09
47.58,9.13,30.67
47.64,9.13,32.11
47.5,9.13,35.93
47.54,9.14,27.41
47.63,9.16,26.68
47.58,9.16,33.12
47.51,9.15,32.62
47.52,9.15,28.18
47.49,9.41,33.18
47.49,9.39,37.68
47.5,9.38,36.06
47.52,9.37,23.35
47.57,9.34,31.41
47.54,9.33,30.51
47.56,9.32,24.02
47.55,9.32,30.71
47.64,9.11,27.87
47.53,9.1,25.09
47.65,9.1,26.13
47.49,9.1,28.14
47.51,9.1,46.49
47.63,9.08,28.09
47.6,9.07,27.06
47.58,9.07,27.96
47.52,9.07,24.71
47.61,9.07,16.32
47.56,9.07,27.46
47.55,9.06,17.01
47.58,9.05,29.14
47.56,9.05,22.32
47.63,9.05,31.46
47.66,9.05,32.95
47.65,9.05,38.64
47.5,9.04,34.62
47.6,9.04,21.04
47.67,9.03,40.59
47.63,9.02,30.96
47.53,9.02,27.05
47.67,8.72,14.49
47.57,9.31,36.02
47.5,9.31,33.13
47.61,9.29,17.26
47.52,9.21,28.95
47.59,9.21,29.46
47.61,9.21,28.76
47.58,9.2,15.18
47.54,9.2,20.44
47.58,9.19,29.89
47.68,8.73,15.87
47.68,8.7,15.91
47.63,9.18,25.32
47.61,9.18,28.69
46.91,7.6,30.4
46.94,7.75,22.79
46.99,7.45,37.42
46.99,7.45,37.42
46.9,7.54,0.81
46.99,7.45,29.51
46.99,7.45,35.81
46.99,7.45,37.42
46.89,7.08,6.44
47.03,7.53,36.01
46.99,7.45,34.31
46.99,7.45,37.42
46.99,7.45,33.27
47.14,7.66,34.5
47.11,7.6,16.28
47.0,7.16,29.77
47.03,7.29,13.63
46.99,7.45,37.42
46.98,7.35,26.02
46.99,7.45,34.01
46.99,7.45,37.29
46.99,7.45,41.67
46.98,7.35,20.12
47.0,7.4,29.51
47.11,8.47,26.71
47.2,8.8,36.91
47.12,8.69,47.63
47.2,8.75,34.68
47.19,8.94,21.1
47.57,7.82,32.99
47.5,9.03,27.33
47.52,9.43,2.72
47.51,9.42,24.01
47.55,9.38,18.17
47.57,9.37,1.21
47.49,9.25,18.99
47.5,9.24,0.84
47.5,9.24,1.21
47.5,9.22,39.94
47.63,9.18,29.32
47.64,9.16,33.74
47.64,9.15,31.11
47.57,8.92,30.23
47.55,8.92,29.01
47.56,8.91,2.58
46.99,7.39,13.76
47.14,7.66,34.5
46.98,7.35,20.12
47.0,7.16,29.77
46.97,7.5,17.41
47.38,8.1,31.74
47.57,7.81,0.39
47.39,8.19,34.37
47.35,8.18,32.45
47.57,7.81,0.37
47.52,7.77,28.41
47.5,7.77,40.52
47.5,7.78,48.69
47.52,7.76,23.21
47.5,7.82,31.5
47.53,7.53,5.37
47.65,8.73,21.92
47.66,8.73,6.08
47.66,8.68,4.84
47.68,8.68,16.31
47.67,8.69,15.59
47.67,8.68,15.1
47.68,8.67,15.92
