latitude,longitude,tovr
49.79,6.15,1.39
49.8,6.16,5.18
49.8,6.17,2.11
49.8,6.16,5.58
49.8,6.18,2.36
49.8,6.18,3.78
49.57,6.18,4.46
49.85,6.16,2.68
49.8,6.16,3.72
49.98,6.07,6.92
49.57,6.18,5.69
49.97,6.13,2.31
49.98,6.07,2.37
49.85,6.16,2.27
49.97,6.13,1.09
49.93,6.15,3.34
49.8,6.16,5.53
49.98,6.07,3.1
49.85,6.16,3.02
49.8,6.18,3.64
49.98,6.13,1.69
49.85,6.16,2.32
49.79,6.15,2.27
49.85,6.16,3.43
49.56,6.14,2.12
49.98,6.07,2.29
49.84,6.16,1.68
49.84,6.16,2.42
49.83,6.11,3.1
49.98,6.07,1.49
49.97,6.07,6.22
49.98,6.13,1.77
49.57,6.18,6.57
49.8,6.18,2.29
49.79,6.16,3.17
49.57,6.18,6.41
49.57,6.18,6.82
49.98,6.13,1.57
49.98,6.07,6.07
49.79,6.14,2.24
49.84,6.16,2.45
49.57,6.19,3.99
50.02,6.08,2.52
49.97,6.07,2.42
49.84,6.16,6.56
49.84,6.16,2.84
49.98,6.13,2.42
48.29,6.5,92.87
50.0,4.3,55.76
49.99,4.24,68.57
50.0,4.46,61.81
50.01,4.22,45.5
50.9,14.7,218.82
45.17,1.76,105.99
48.02,4.22,34.68
46.39,3.23,11.66
46.59,3.42,36.15
46.37,2.91,19.4
46.45,2.9,63.49
47.94,3.68,25.09
48.35,6.91,50.66
48.38,6.82,92.9
48.19,7.15,409.09
48.31,6.99,274.68
48.19,6.91,61.78
48.4,6.79,200.92
48.4,7.2,88.18
46.32,3.46,18.73
44.89,1.99,350.73
45.1,2.12,32.16
47.84,3.63,43.35
47.89,3.61,43.2
48.34,7.03,382.83
48.4,7.08,118.76
48.39,6.75,21.9
48.37,7.18,95.57
48.36,7.03,80.44
48.25,6.05,23.61
50.48,6.38,46.35
45.7,2.97,374.26
45.06,2.56,687.46
49.93,4.39,84.16
50.46,13.04,196.92
50.11,17.41,82.35
50.78,14.05,37.86
49.34,15.03,49.92
49.56,14.8,10.79
51.01,14.32,20.03
49.79,12.82,38.09
50.19,13.13,91.4
49.81,15.16,8.52
49.05,14.71,20.12
50.71,16.01,46.07
50.52,14.79,49.07
49.78,17.46,18.99
49.1,14.25,16.73
50.82,14.55,20.73
47.5,7.58,74.64
47.52,7.5,86.14
47.43,7.9,77.23
47.52,7.63,97.03
47.51,7.67,149.87
47.57,7.81,22.9
47.57,7.81,19.87
47.52,7.77,34.2
47.5,7.78,545.99
47.52,7.76,63.37
47.5,7.82,236.23
47.53,7.53,19.6
47.5,9.03,43.87
47.55,9.36,81.23
47.52,7.52,7.96
47.44,7.79,458.04
47.54,7.54,13.54
47.51,7.82,157.19
47.57,7.81,22.81
47.5,7.78,465.37
47.49,7.82,72.08
47.52,7.76,46.78
47.53,7.53,20.38
47.5,7.81,93.29
47.57,7.81,21.12
47.52,7.76,31.5
47.52,7.53,11.46
47.5,7.81,182.14
47.52,7.76,46.48
48.92,12.45,20.24
48.92,12.45,13.48
50.74,8.88,68.21
50.74,8.88,65.19
48.91,8.41,33.16
48.92,12.45,13.39
51.36,9.91,14.0
50.98,11.66,87.01
48.97,12.66,15.09
48.97,12.66,30.42
48.92,12.45,20.57
48.91,8.41,60.64
48.91,8.41,49.61
51.36,9.92,7.72
48.97,12.66,11.65
48.97,12.66,15.64
48.97,12.66,14.42
48.91,8.42,48.22
50.76,8.88,12.61
48.92,12.45,20.42
50.76,8.88,11.34
50.76,8.87,14.88
48.97,12.66,14.08
48.97,12.66,20.66
50.74,8.88,65.58
48.91,8.41,53.81
50.74,8.88,85.27
50.74,8.88,53.91
50.76,8.87,13.97
48.91,8.41,42.37
45.94,3.29,185.26
47.18,7.42,1400.7
47.1,5.55,61.97
47.87,3.63,78.08
44.61,2.59,122.83
47.43,7.72,83.02
47.7,8.48,30.0
48.38,6.75,41.9
49.75,6.07,50.92
49.8,5.92,67.19
47.42,9.03,4.27
49.95,5.87,63.38
50.23,5.68,54.84
44.76,2.01,110.23
46.95,7.7,101.29
49.98,4.25,41.39
47.75,4.25,80.96
47.07,5.34,66.46
48.73,6.32,53.41
46.97,7.5,69.42
49.67,6.12,7.23
48.31,6.99,508.06
49.8,5.92,88.46
49.68,6.12,11.62
49.58,5.73,30.75
49.72,5.7,18.75
49.58,5.98,14.1
49.45,5.98,170.54
44.77,2.02,78.14
46.72,6.75,8.18
47.79,3.65,137.39
49.78,5.98,27.14
49.63,5.47,24.63
47.43,7.02,109.5
47.28,7.28,7.75
